borough,incident_zip,complaint_type,request_count,avg_response_hours,repeat_proxy_rate,delay_48h_rate,volume_score,delay_score,response_score,repeat_score,hotspot_priority_score,hotspot_rank,hotspot_label
BRONX,10458,PLUMBING,244,623.580037568306,0.5655737704918032,0.860655737704918,0.014574898785425101,0.860655737704918,0.038700169648874884,0.5238020176544766,0.3315593229186261,75,BRONX | 10458 | PLUMBING
BRONX,10458,PAINT/PLASTER,277,405.1246430004011,0.6064981949458483,0.8231046931407943,0.01791497975708502,0.8231046931407943,0.025136017443650727,0.5686614829214107,0.33044486438886234,76,BRONX | 10458 | PAINT/PLASTER
BRONX,10456,PAINT/PLASTER,211,435.8410255397578,0.5876777251184834,0.8483412322274881,0.011234817813765181,0.8483412322274881,0.027043233737310234,0.5480313525337221,0.33024199074971905,77,BRONX | 10456 | PAINT/PLASTER
BROOKLYN,11203,UNSANITARY CONDITION,195,567.5024316239317,0.4871794871794871,0.9333333333333332,0.009615384615384616,0.9333333333333332,0.035218245186269606,0.43786982248520706,0.330036188454469,78,BROOKLYN | 11203 | UNSANITARY CONDITION
BRONX,10468,DOOR/WINDOW,147,715.8283446712018,0.4829931972789115,0.9387755102040816,0.004757085020242915,0.9387755102040816,0.044427975458811025,0.43328100470957603,0.3299171088198544,79,BRONX | 10468 | DOOR/WINDOW
BRONX,10453,DOOR/WINDOW,158,512.8810109001407,0.5063291139240507,0.9240506329113924,0.005870445344129555,0.9240506329113924,0.03182673697550402,0.45886075949367094,0.3299069988105597,80,BRONX | 10453 | DOOR/WINDOW
BRONX,10462,PAINT/PLASTER,153,446.9616757443718,0.5490196078431373,0.8888888888888888,0.005364372469635627,0.8888888888888888,0.02773372797891411,0.5056561085972852,0.3296592521263706,81,BRONX | 10462 | PAINT/PLASTER
BRONX,10453,PAINT/PLASTER,235,366.604048463357,0.6382978723404256,0.8,0.013663967611336033,0.8,0.022744228454554476,0.603518821603928,0.32958098563350324,82,BRONX | 10453 | PAINT/PLASTER
BROOKLYN,11221,UNSANITARY CONDITION,205,688.2029403794039,0.4390243902439024,0.9658536585365852,0.01062753036437247,0.9658536585365852,0.04271268163745236,0.3850844277673546,0.32913821457898407,83,BROOKLYN | 11221 | UNSANITARY CONDITION
BRONX,10459,PAINT/PLASTER,139,536.3015667466027,0.5467625899280576,0.8848920863309353,0.003947368421052632,0.8848920863309353,0.03328094681482028,0.5031820697288324,0.3284305249191444,84,BRONX | 10459 | PAINT/PLASTER
MANHATTAN,10034,PLUMBING,108,660.8347299382716,0.5833333333333334,0.8518518518518519,0.0008097165991902834,0.8518518518518519,0.041013357284568355,0.5432692307692308,0.3280926993491705,85,MANHATTAN | 10034 | PLUMBING
BROOKLYN,11226,PLUMBING,314,447.2748991507431,0.5605095541401274,0.8439490445859873,0.02165991902834008,0.8439490445859873,0.027753176388355602,0.518250857422832,0.32746437670065265,86,BROOKLYN | 11226 | PLUMBING
BROOKLYN,11208,PAINT/PLASTER,110,477.8126994949495,0.5636363636363636,0.8727272727272727,0.0010121457489878543,0.8727272727272727,0.029649304303625765,0.5216783216783216,0.32736973646262146,87,BROOKLYN | 11208 | PAINT/PLASTER
BROOKLYN,11226,WATER LEAK,251,525.2238855688358,0.4900398406374502,0.9123505976095616,0.015283400809716598,0.9123505976095616,0.03259312057059599,0.44100520992951275,0.32729101979776903,88,BROOKLYN | 11226 | WATER LEAK
BRONX,10466,PLUMBING,100,568.6688833333334,0.53,0.9,0.0,0.9,0.03529067154386844,0.4848076923076924,0.32725513919311877,89,BRONX | 10466 | PLUMBING
BRONX,10453,ELEVATOR,104,1014.415032051282,0.5384615384615384,0.875,0.0004048582995951417,0.875,0.06296757381520758,0.4940828402366864,0.32717364743945654,90,BRONX | 10453 | ELEVATOR
BRONX,10467,PAINT/PLASTER,255,416.3161111111111,0.5803921568627451,0.8352941176470589,0.01568825910931174,0.8352941176470589,0.0258309088522783,0.5400452488687784,0.3269825191570868,91,BRONX | 10467 | PAINT/PLASTER
BRONX,10452,ELEVATOR,107,927.9821235721704,0.616822429906542,0.8037383177570093,0.000708502024291498,0.8037383177570093,0.05760085294081667,0.5799784327821711,0.32585379474652565,92,BRONX | 10452 | ELEVATOR
BROOKLYN,11226,ELEVATOR,102,726.9513480392156,0.5686274509803921,0.8529411764705882,0.00020242914979757084,0.8529411764705882,0.04511861581109614,0.5271493212669683,0.32551392240262417,93,BROOKLYN | 11226 | ELEVATOR
BROOKLYN,11237,UNSANITARY CONDITION,133,643.1724561403508,0.4661654135338345,0.9398496240601504,0.0033400809716599192,0.9398496240601504,0.039916685945509844,0.41483516483516475,0.325252974262561,94,BROOKLYN | 11237 | UNSANITARY CONDITION
BROOKLYN,11213,DOOR/WINDOW,104,578.1897168803418,0.4807692307692308,0.9326923076923076,0.0004048582995951417,0.9326923076923076,0.03588183128889402,0.4308431952662722,0.3248859339895035,95,BROOKLYN | 11213 | DOOR/WINDOW
BRONX,10452,DOOR/WINDOW,177,570.9279347143754,0.4858757062146893,0.9152542372881356,0.007793522267206478,0.9152542372881356,0.0354309386992412,0.4364406779661017,0.324533744627023,96,BRONX | 10452 | DOOR/WINDOW
BRONX,10466,UNSANITARY CONDITION,162,490.6623131001372,0.5432098765432098,0.8703703703703703,0.006275303643724696,0.8703703703703703,0.030447151914868468,0.49928774928774927,0.3245273366948626,97,BRONX | 10466 | UNSANITARY CONDITION
