borough,complaint_type,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,workload_share,volume_score,delay_score,response_score,repeat_score,operational_stress_score,stress_rank,management_priority_tier
MANHATTAN,DOOR/WINDOW,1292,1229,881.5009354940784,337.31416666666667,2290.684111111112,0.01627339300244101,0.04800650935720097,0.983726606997559,0.951993490642799,0.42260061919504643,0.0029344029216841474,0.03286443942058109,0.9577168984021746,0.04830565506938775,0.4166347393837753,0.3709739652392996,27,Critical
BROOKLYN,PLUMBING,2718,2618,521.8020854553943,196.76236111111112,1284.8991666666677,0.046218487394957986,0.12223071046600459,0.9537815126050421,0.8777692895339955,0.4551140544518028,0.006173147942056898,0.09256468224064306,0.8830464596113542,0.028579590193198015,0.4518857177497183,0.3708103523687286,28,Critical
BRONX,ELEVATOR,1136,1131,899.9908200707339,492.29527777777776,1979.5941666666668,0.10610079575596817,0.14677276746242263,0.8938992042440318,0.8532272325375774,0.590669014084507,0.002580094209778012,0.026333417064389183,0.8583568551780838,0.04931964958917324,0.5988540375127234,0.3664157880707045,29,Critical
BROOKLYN,DOOR/WINDOW,1869,1785,594.9006557734205,291.84833333333336,1453.7070000000017,0.020168067226890758,0.06218487394957983,0.9798319327731092,0.9378151260504202,0.38362760834670945,0.004244890913798508,0.05702084903290631,0.9434532931409036,0.032588352357144405,0.3743803066724578,0.36566800157608587,30,Critical
MANHATTAN,PAINT/PLASTER,1665,1592,580.2959113274707,197.64263888888888,1339.5154722222233,0.0414572864321608,0.13442211055276382,0.9585427135678392,0.8655778894472361,0.5357357357357357,0.0037815641366904843,0.04848028133634765,0.8707817645340933,0.03178742086567593,0.5392955260435159,0.3654544409076122,31,Critical
QUEENS,REQUEST LARGE BULKY ITEM COLLECTION,5455,5436,104.98796909492273,85.85,181.73333333333332,0.004966887417218543,0.2277409860191317,0.9950331125827815,0.7722590139808683,0.36040329972502294,0.01238944886825621,0.20715063216947166,0.7769018537442803,0.005721295539895384,0.3492005742227182,0.3590976226239859,32,Critical
MANHATTAN,GENERAL,1095,1018,1037.366392163283,394.88680555555555,2933.888222222224,0.0412573673870334,0.07956777996070727,0.9587426326129665,0.9204322200392927,0.410958904109589,0.002486974612418066,0.02461693041949259,0.9259658806808115,0.05685339468513301,0.404012823447204,0.35837829230517304,33,Critical
QUEENS,ROOT/SEWER/SIDEWALK CONDITION,548,490,6457.6728769841275,3361.954583333333,18959.271666666667,0.044897959183673466,0.05918367346938776,0.9551020408163265,0.9408163265306122,0.03832116788321168,0.001244622911054886,0.0017164866448965922,0.9464725369105558,0.35410571383185524,0.0,0.3553636741652516,34,Critical
BROOKLYN,GRAFFITI,1061,993,4299.017175786058,857.4125,13505.013166666675,0.1268882175226586,0.15307150050352467,0.8731117824773413,0.8469284994964753,0.2987747408105561,0.002409753482900062,0.023193502470066147,0.8520202540024662,0.23572395530632625,0.2823830577141644,0.35322605178365285,35,Critical
BROOKLYN,WATER LEAK,1834,1763,656.6352806138527,271.6038888888889,1573.7728888888882,0.02098695405558707,0.07487237663074305,0.979013045944413,0.9251276233692569,0.326608505997819,0.004165398574588797,0.05555555555555555,0.930689512888511,0.03597391006626311,0.3125603504767018,0.3527301328957556,36,Critical
BRONX,WATER LEAK,1915,1837,560.24056689651,257.04583333333335,1435.4139444444445,0.035383777898747956,0.0979858464888405,0.9646162221012521,0.9020141535111595,0.3394255874673629,0.004349366559616983,0.05894666331742443,0.9074370842937918,0.030687575744355933,0.3264565954606437,0.34796846191720376,37,Critical
